#DISTANCE:      BLOCK_NUMBER:        AVE_GOFR:
     0.74384           9           0
    0.769489           9           0
    0.795139           9           0
    0.820788           9           0
    0.846438           9           0
    0.872088           9           0
    0.897737           9  0.00151571
    0.923387           9   0.0229408
    0.949037           9    0.163313
    0.974686           9    0.518208
     1.00034           9     1.11106
     1.02599           9     1.70344
     1.05164           9     2.17796
     1.07728           9     2.42277
     1.10293           9     2.44378
     1.12858           9     2.34833
     1.15423           9     2.07476
     1.17988           9     1.87239
     1.20553           9     1.68752
     1.23118           9     1.50452
     1.25683           9     1.31941
     1.28248           9     1.17515
     1.30813           9     1.02067
     1.33378           9    0.909568
     1.35943           9    0.827165
     1.38508           9    0.801499
     1.41073           9    0.730901
     1.43638           9    0.705737
     1.46203           9    0.664632
     1.48768           9     0.65582
     1.51333           9    0.605626
     1.53898           9    0.640197
     1.56463           9    0.660255
     1.59028           9    0.637787
     1.61593           9    0.623732
     1.64158           9     0.62998
     1.66723           9    0.640367
     1.69288           9    0.663092
     1.71853           9    0.674772
     1.74418           9     0.68327
     1.76983           9     0.71019
     1.79547           9    0.763518
     1.82112           9    0.799001
     1.84677           9    0.845384
     1.87242           9    0.865516
     1.89807           9    0.942907
     1.92372           9     1.00216
     1.94937           9      1.0155
     1.97502           9     1.05424
     2.00067           9      1.1019
     2.02632           9     1.10222
     2.05197           9     1.13386
     2.07762           9     1.13672
     2.10327           9     1.13071
     2.12892           9     1.09384
     2.15457           9     1.11611
     2.18022           9     1.09736
     2.20587           9        1.09
     2.23152           9     1.04952
     2.25717           9     1.00548
     2.28282           9    0.997401
     2.30847           9    0.953423
     2.33412           9     0.92417
     2.35977           9    0.888911
     2.38542           9    0.881498
     2.41107           9    0.878587
     2.43672           9    0.874898
     2.46237           9    0.888239
     2.48802           9    0.859342
     2.51366           9     0.82915
     2.53931           9    0.852873
           0          10           0
   0.0256496          10           0
   0.0512993          10           0
   0.0769489          10           0
    0.102599          10           0
    0.128248          10           0
    0.153898          10           0
    0.179547          10           0
    0.205197          10           0
    0.230847          10           0
    0.256496          10           0
    0.282146          10           0
    0.307796          10           0
    0.333445          10           0
    0.359095          10           0
    0.384745          10           0
    0.410394          10           0
    0.436044          10           0
    0.461694          10           0
    0.487343          10           0
    0.512993          10           0
    0.538642          10           0
    0.564292          10           0
    0.589942          10           0
    0.615591          10           0
    0.641241          10           0
    0.666891          10           0
     0.69254          10           0
     0.71819          10           0
     0.74384          10           0
    0.769489          10           0
    0.795139          10           0
    0.820788          10           0
    0.846438          10           0
    0.872088          10           0
    0.897737          10  0.00108265
    0.923387          10   0.0251119
    0.949037          10    0.154619
    0.974686          10    0.533783
     1.00034          10     1.09441
     1.02599          10     1.64415
     1.05164          10      2.1391
     1.07728          10     2.41243
     1.10293          10     2.38927
     1.12858          10     2.24123
     1.15423          10     2.08469
     1.17988          10     1.97697
     1.20553          10     1.68437
     1.23118          10     1.44806
     1.25683          10     1.29081
     1.28248          10     1.18904
     1.30813          10     1.07988
     1.33378          10    0.966993
     1.35943          10    0.898842
     1.38508          10    0.830752
     1.41073          10    0.788151
     1.43638          10    0.730152
     1.46203          10    0.693537
     1.48768          10    0.668642
     1.51333          10    0.625513
     1.53898          10    0.594986
     1.56463          10     0.60946
     1.59028          10    0.611114
     1.61593          10    0.580053
     1.64158          10    0.632407
     1.66723          10    0.655391
     1.69288          10    0.659994
     1.71853          10    0.692033
     1.74418          10    0.731251
     1.76983          10    0.739309
     1.79547          10    0.759038
     1.82112          10    0.801777
     1.84677          10    0.840348
     1.87242          10    0.872315
     1.89807          10    0.903415
     1.92372          10     0.91279
     1.94937          10     0.97812
     1.97502          10      1.0391
     2.00067          10     1.03543
     2.02632          10     1.08427
     2.05197          10     1.11293
     2.07762          10        1.11
     2.10327          10     1.11631
     2.12892          10     1.14215
     2.15457          10      1.1166
     2.18022          10     1.09439
     2.20587          10     1.07382
     2.23152          10     1.04995
     2.25717          10     1.06325
     2.28282          10     1.01463
     2.30847          10      1.0023
     2.33412          10    0.984081
     2.35977          10    0.951379
     2.38542          10    0.933279
     2.41107          10     0.89152
     2.43672          10    0.876981
     2.46237          10    0.858272
     2.48802          10    0.871152
     2.51366          10    0.872933
     2.53931          10    0.861457
           0          11           0
   0.0256496          11           0
   0.0512993          11           0
   0.0769489          11           0
    0.102599          11           0
    0.128248          11           0
    0.153898          11           0
    0.179547          11           0
    0.205197          11           0
    0.230847          11           0
    0.256496          11           0
    0.282146          11           0
    0.307796          11           0
    0.333445          11           0
    0.359095          11           0
    0.384745          11           0
    0.410394          11           0
    0.436044          11           0
    0.461694          11           0
    0.487343          11           0
    0.512993          11           0
    0.538642          11           0
    0.564292          11           0
    0.589942          11           0
    0.615591          11           0
    0.641241          11           0
    0.666891          11           0
     0.69254          11           0
     0.71819          11           0
     0.74384          11           0
    0.769489          11           0
    0.795139          11           0
    0.820788          11           0
    0.846438          11           0
    0.872088          11           0
    0.897737          11 0.000822812
    0.923387          11   0.0309291
    0.949037          11    0.165641
    0.974686          11    0.534299
     1.00034          11     1.10931
     1.02599          11      1.7459
     1.05164          11      2.2272
     1.07728          11     2.37669
     1.10293          11     2.34098
     1.12858          11     2.23599
     1.15423          11     2.03513
     1.17988          11     1.81088
     1.20553          11     1.61705
     1.23118          11     1.50066
     1.25683          11     1.36507
     1.28248          11     1.22339
     1.30813          11     1.07113
     1.33378          11    0.981784
     1.35943          11    0.930763
     1.38508          11    0.836724
     1.41073          11    0.760988
     1.43638          11    0.698454
     1.46203          11     0.69187
     1.48768          11    0.688769
     1.51333          11    0.636921
     1.53898          11    0.592212
     1.56463          11    0.619951
     1.59028          11    0.623996
     1.61593          11    0.622365
     1.64158          11    0.631948
     1.66723          11    0.654513
     1.69288          11    0.683431
     1.71853          11    0.681168
     1.74418          11    0.705254
     1.76983          11    0.721704
     1.79547          11    0.762782
     1.82112          11    0.782869
     1.84677          11    0.838894
     1.87242          11    0.856585
     1.89807          11    0.901271
     1.92372          11    0.946034
     1.94937          11    0.971843
     1.97502          11     1.03408
     2.00067          11      1.0653
     2.02632          11     1.06762
     2.05197          11     1.10205
     2.07762          11     1.09513
     2.10327          11     1.09895
     2.12892          11     1.12981
     2.15457          11     1.13587
     2.18022          11     1.09483
     2.20587          11     1.08471
     2.23152          11     1.07042
     2.25717          11     1.04985
     2.28282          11     1.01865
     2.30847          11    0.998098
     2.33412          11    0.970202
     2.35977          11    0.939725
     2.38542          11    0.921068
     2.41107          11     0.90738
     2.43672          11    0.876939
     2.46237          11    0.869361
     2.48802          11    0.876939
     2.51366          11    0.870503
     2.53931          11    0.852145
           0          12           0
   0.0256496          12           0
   0.0512993          12           0
   0.0769489          12           0
    0.102599          12           0
    0.128248          12           0
    0.153898          12           0
    0.179547          12           0
    0.205197          12           0
    0.230847          12           0
    0.256496          12           0
    0.282146          12           0
    0.307796          12           0
    0.333445          12           0
    0.359095          12           0
    0.384745          12           0
    0.410394          12           0
    0.436044          12           0
    0.461694          12           0
    0.487343          12           0
    0.512993          12           0
    0.538642          12           0
    0.564292          12           0
    0.589942          12           0
    0.615591          12           0
    0.641241          12           0
    0.666891          12           0
     0.69254          12           0
     0.71819          12           0
     0.74384          12           0
    0.769489          12           0
