#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         620     1.40126     1.22709   0.0112584
         621     1.40158     1.22737   0.0112437
         622     1.40191     1.22765   0.0112292
         623     1.40225     1.22793   0.0112146
         624     1.40261     1.22821   0.0112002
         625     1.40299     1.22849   0.0111857
         626     1.40337     1.22877   0.0111713
         627     1.40375     1.22905    0.011157
         628     1.40414     1.22933   0.0111427
         629     1.40453     1.22961   0.0111285
         630     1.40493     1.22989   0.0111143
         631     1.40533     1.23016   0.0111002
         632     1.40575     1.23044   0.0110861
         633     1.40619     1.23072   0.0110721
         634     1.40666       1.231   0.0110581
         635     1.40715     1.23127   0.0110441
         636     1.40769     1.23155   0.0110302
         637     1.40827     1.23183   0.0110164
         638      1.4089     1.23211   0.0110026
         639     1.40959     1.23239   0.0109889
         640     1.41035     1.23266   0.0109753
         641     1.41117     1.23294   0.0109617
         642     1.41207     1.23322   0.0109482
         643     1.41304      1.2335   0.0109347
         644     1.41409     1.23378   0.0109213
         645     1.41522     1.23406    0.010908
         646     1.41642     1.23434   0.0108948
         647     1.41771     1.23463   0.0108816
         648     1.41907     1.23491   0.0108686
         649      1.4205      1.2352   0.0108556
         650       1.422     1.23549   0.0108427
         651     1.42356     1.23577   0.0108299
         652     1.42517     1.23607   0.0108172
         653     1.42683     1.23636   0.0108045
         654     1.42852     1.23665    0.010792
         655     1.43024     1.23695   0.0107796
         656     1.43199     1.23724   0.0107672
         657     1.43373     1.23754    0.010755
         658     1.43548     1.23784   0.0107429
         659      1.4372     1.23815   0.0107308
         660     1.43891     1.23845   0.0107189
         661     1.44057     1.23876    0.010707
         662     1.44219     1.23906   0.0106953
         663     1.44376     1.23937   0.0106836
         664     1.44526     1.23968    0.010672
         665     1.44669     1.23999   0.0106605
         666     1.44804     1.24031   0.0106491
         667     1.44929     1.24062   0.0106377
         668     1.45043     1.24093   0.0106264
         669     1.45148     1.24125   0.0106152
         670     1.45241     1.24156    0.010604
         671     1.45321     1.24188   0.0105929
         672      1.4539     1.24219   0.0105818
         673     1.45447     1.24251   0.0105708
         674      1.4549     1.24282   0.0105598
         675     1.45519     1.24314   0.0105489
         676     1.45535     1.24345   0.0105379
         677     1.45537     1.24377    0.010527
         678     1.45524     1.24408   0.0105161
         679     1.45497     1.24439   0.0105052
         680     1.45456      1.2447   0.0104943
         681       1.454     1.24501   0.0104834
         682      1.4533     1.24531   0.0104725
         683     1.45246     1.24561   0.0104615
         684     1.45148     1.24591   0.0104506
         685     1.45035     1.24621   0.0104396
         686     1.44908     1.24651   0.0104285
         687     1.44767      1.2468   0.0104175
         688     1.44612     1.24709   0.0104064
         689     1.44444     1.24738   0.0103952
         690     1.44262     1.24766    0.010384
         691     1.44068     1.24794   0.0103727
         692      1.4386     1.24822   0.0103614
         693      1.4364     1.24849     0.01035
         694     1.43407     1.24875   0.0103385
         695     1.43161     1.24902    0.010327
         696     1.42904     1.24928   0.0103154
         697     1.42635     1.24953   0.0103037
         698     1.42355     1.24978    0.010292
         699     1.42065     1.25002   0.0102802
         700     1.41765     1.25026   0.0102683
         701     1.41456      1.2505   0.0102563
         702     1.41139     1.25073   0.0102442
         703     1.40814     1.25095   0.0102321
         704     1.40483     1.25117   0.0102199
         705     1.40147     1.25138   0.0102076
         706     1.39807     1.25159   0.0101953
         707     1.39463     1.25179   0.0101829
         708     1.39118     1.25199   0.0101704
         709     1.38773     1.25218   0.0101579
         710     1.38428     1.25237   0.0101453
         711     1.38085     1.25255   0.0101326
         712     1.37747     1.25272   0.0101199
         713     1.37414     1.25289   0.0101071
         714      1.3709     1.25306   0.0100943
         715     1.36774     1.25322   0.0100815
         716     1.36469     1.25338   0.0100686
         717     1.36177     1.25353   0.0100557
         718       1.359     1.25367   0.0100428
         719     1.35639     1.25382   0.0100298
         720     1.35395     1.25396   0.0100168
         721     1.35172     1.25409   0.0100039
         722     1.34969     1.25422  0.00999088
         723     1.34788     1.25435   0.0099779
