#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         614          -1   -0.989967  0.00142338
         615          -1   -0.989984  0.00142116
         616          -1       -0.99  0.00141895
         617          -1   -0.990016  0.00141674
         618          -1   -0.990032  0.00141454
         619          -1   -0.990048  0.00141235
         620          -1   -0.990065  0.00141016
         621          -1   -0.990081  0.00140798
         622          -1   -0.990096  0.00140581
         623          -1   -0.990112  0.00140364
         624          -1   -0.990128  0.00140148
         625          -1   -0.990144  0.00139933
         626          -1    -0.99016  0.00139718
         627          -1   -0.990175  0.00139504
         628          -1   -0.990191   0.0013929
         629          -1   -0.990207  0.00139078
         630          -1   -0.990222  0.00138866
         631          -1   -0.990238  0.00138654
         632          -1   -0.990253  0.00138443
         633          -1   -0.990269  0.00138233
         634          -1   -0.990284  0.00138024
         635          -1   -0.990299  0.00137815
         636          -1   -0.990314  0.00137607
         637          -1    -0.99033  0.00137399
         638          -1   -0.990345  0.00137192
         639          -1    -0.99036  0.00136986
         640          -1   -0.990375   0.0013678
         641          -1    -0.99039  0.00136575
         642          -1   -0.990405   0.0013637
         643          -1    -0.99042  0.00136166
         644          -1   -0.990435  0.00135963
         645          -1    -0.99045   0.0013576
         646          -1   -0.990464  0.00135558
         647          -1   -0.990479  0.00135357
         648          -1   -0.990494  0.00135156
         649          -1   -0.990508  0.00134955
         650          -1   -0.990523  0.00134756
         651          -1   -0.990538  0.00134557
         652          -1   -0.990552  0.00134358
         653          -1   -0.990567   0.0013416
         654          -1   -0.990581  0.00133963
         655          -1   -0.990595  0.00133766
         656          -1    -0.99061   0.0013357
         657          -1   -0.990624  0.00133374
         658          -1   -0.990638  0.00133179
         659          -1   -0.990653  0.00132984
         660          -1   -0.990667   0.0013279
         661       -0.92    -0.99056  0.00133019
         662       -0.92   -0.990453  0.00133245
         663          -1   -0.990468  0.00133051
         664          -1   -0.990482  0.00132859
         665          -1   -0.990496  0.00132667
         666          -1   -0.990511  0.00132475
         667          -1   -0.990525  0.00132284
         668          -1   -0.990539  0.00132094
         669          -1   -0.990553  0.00131904
         670          -1   -0.990567  0.00131715
         671          -1   -0.990581  0.00131526
         672          -1   -0.990595  0.00131338
         673          -1   -0.990609   0.0013115
         674          -1   -0.990623  0.00130963
         675          -1   -0.990637  0.00130776
         676          -1   -0.990651   0.0013059
         677          -1   -0.990665  0.00130404
         678          -1   -0.990678  0.00130219
         679          -1   -0.990692  0.00130035
         680          -1   -0.990706  0.00129851
         681          -1    -0.99072  0.00129667
         682          -1   -0.990733  0.00129484
         683          -1   -0.990747  0.00129302
         684          -1    -0.99076   0.0012912
         685       -0.92   -0.990657  0.00129344
         686          -1   -0.990671  0.00129162
         687          -1   -0.990684  0.00128982
         688          -1   -0.990698  0.00128801
         689          -1   -0.990711  0.00128621
         690          -1   -0.990725  0.00128442
         691          -1   -0.990738  0.00128263
         692          -1   -0.990751  0.00128085
         693          -1   -0.990765  0.00127907
         694          -1   -0.990778  0.00127729
         695          -1   -0.990791  0.00127553
         696          -1   -0.990805  0.00127376
         697          -1   -0.990818    0.001272
         698          -1   -0.990831  0.00127025
         699          -1   -0.990844   0.0012685
         700          -1   -0.990857  0.00126675
         701          -1    -0.99087  0.00126501
         702          -1   -0.990883  0.00126328
         703          -1   -0.990896  0.00126155
         704          -1   -0.990909  0.00125982
         705          -1   -0.990922   0.0012581
         706          -1   -0.990935  0.00125639
         707          -1   -0.990948  0.00125467
         708          -1    -0.99096  0.00125297
         709          -1   -0.990973  0.00125126
